nome_arquivo,imagem,threshold,prompt_fundo,prompt_roupa,clip_fundo,clip_inpainting
img-03-mscoco__fundo_0015__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th01__A_scientist.jpg,img-03-mscoco,0.1,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.1387939453125,0.2418212890625
img-03-mscoco__fundo_0015__A sunset__th01__A_scientist.jpg,img-03-mscoco,0.1,A sunset,A scientist,0.1988525390625,0.2442626953125
img-03-mscoco__fundo_0015__The Parthenon in front of the Great Pyramid__th01__A_scientist.jpg,img-03-mscoco,0.1,The Parthenon in front of the Great Pyramid,A scientist,0.1253662109375,0.2384033203125
img-03-mscoco__fundo_0015__The city of London__th01__A_scientist.jpg,img-03-mscoco,0.1,The city of London,A scientist,0.1888427734375,0.262451171875
img-03-mscoco__fundo_0039__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th03__A_scientist.jpg,img-03-mscoco,0.3,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.13330078125,0.2125244140625
img-03-mscoco__fundo_0039__A sunset__th03__A_scientist.jpg,img-03-mscoco,0.3,A sunset,A scientist,0.208984375,0.236083984375
img-03-mscoco__fundo_0039__The Parthenon in front of the Great Pyramid__th03__A_scientist.jpg,img-03-mscoco,0.3,The Parthenon in front of the Great Pyramid,A scientist,0.2174072265625,0.238525390625
img-03-mscoco__fundo_0039__The city of London__th03__A_scientist.jpg,img-03-mscoco,0.3,The city of London,A scientist,0.2279052734375,0.20361328125
img-03-mscoco__fundo_0063__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th05__A_scientist.jpg,img-03-mscoco,0.5,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.1865234375,0.2254638671875
img-03-mscoco__fundo_0063__A sunset__th05__A_scientist.jpg,img-03-mscoco,0.5,A sunset,A scientist,0.232666015625,0.2376708984375
img-03-mscoco__fundo_0063__The Parthenon in front of the Great Pyramid__th05__A_scientist.jpg,img-03-mscoco,0.5,The Parthenon in front of the Great Pyramid,A scientist,0.224853515625,0.2314453125
img-03-mscoco__fundo_0063__The city of London__th05__A_scientist.jpg,img-03-mscoco,0.5,The city of London,A scientist,0.2286376953125,0.2080078125
img-03-mscoco__fundo_0087__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th07__A_scientist.jpg,img-03-mscoco,0.7,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.210693359375,0.2325439453125
img-03-mscoco__fundo_0087__A sunset__th07__A_scientist.jpg,img-03-mscoco,0.7,A sunset,A scientist,0.20068359375,0.224853515625
img-03-mscoco__fundo_0087__The Parthenon in front of the Great Pyramid__th07__A_scientist.jpg,img-03-mscoco,0.7,The Parthenon in front of the Great Pyramid,A scientist,0.201171875,0.2259521484375
img-03-mscoco__fundo_0087__The city of London__th07__A_scientist.jpg,img-03-mscoco,0.7,The city of London,A scientist,0.2384033203125,0.214599609375
img-03-mscoco__fundo_0111__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th09__A_scientist.jpg,img-03-mscoco,0.9,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.184326171875,0.260009765625
img-03-mscoco__fundo_0111__A sunset__th09__A_scientist.jpg,img-03-mscoco,0.9,A sunset,A scientist,0.18603515625,0.218017578125
img-03-mscoco__fundo_0111__The Parthenon in front of the Great Pyramid__th09__A_scientist.jpg,img-03-mscoco,0.9,The Parthenon in front of the Great Pyramid,A scientist,0.216064453125,0.232421875
img-03-mscoco__fundo_0111__The city of London__th09__A_scientist.jpg,img-03-mscoco,0.9,The city of London,A scientist,0.223876953125,0.2159423828125
img-03-mscoco__fundo_0135__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th11__A_scientist.jpg,img-03-mscoco,1.1,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.203125,0.2247314453125
img-03-mscoco__fundo_0135__A sunset__th11__A_scientist.jpg,img-03-mscoco,1.1,A sunset,A scientist,0.19921875,0.2685546875
img-03-mscoco__fundo_0135__The Parthenon in front of the Great Pyramid__th11__A_scientist.jpg,img-03-mscoco,1.1,The Parthenon in front of the Great Pyramid,A scientist,0.2484130859375,0.2178955078125
img-03-mscoco__fundo_0135__The city of London__th11__A_scientist.jpg,img-03-mscoco,1.1,The city of London,A scientist,0.2371826171875,0.2310791015625
img-03-mscoco__fundo_0159__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th13__A_scientist.jpg,img-03-mscoco,1.3,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.1929931640625,0.2344970703125
img-03-mscoco__fundo_0159__A sunset__th13__A_scientist.jpg,img-03-mscoco,1.3,A sunset,A scientist,0.2056884765625,0.25732421875
img-03-mscoco__fundo_0159__The Parthenon in front of the Great Pyramid__th13__A_scientist.jpg,img-03-mscoco,1.3,The Parthenon in front of the Great Pyramid,A scientist,0.1785888671875,0.2318115234375
img-03-mscoco__fundo_0159__The city of London__th13__A_scientist.jpg,img-03-mscoco,1.3,The city of London,A scientist,0.227294921875,0.2064208984375
img-03-mscoco__fundo_0183__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th15__A_scientist.jpg,img-03-mscoco,1.5,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.28857421875,0.2298583984375
img-03-mscoco__fundo_0183__A sunset__th15__A_scientist.jpg,img-03-mscoco,1.5,A sunset,A scientist,0.2406005859375,0.2484130859375
img-03-mscoco__fundo_0183__The Parthenon in front of the Great Pyramid__th15__A_scientist.jpg,img-03-mscoco,1.5,The Parthenon in front of the Great Pyramid,A scientist,0.2841796875,0.212646484375
img-03-mscoco__fundo_0183__The city of London__th15__A_scientist.jpg,img-03-mscoco,1.5,The city of London,A scientist,0.263916015625,0.20166015625
img-03-mscoco__fundo_0207__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th17__A_scientist.jpg,img-03-mscoco,1.7,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.278564453125,0.2425537109375
img-03-mscoco__fundo_0207__A sunset__th17__A_scientist.jpg,img-03-mscoco,1.7,A sunset,A scientist,0.2398681640625,0.241455078125
img-03-mscoco__fundo_0207__The Parthenon in front of the Great Pyramid__th17__A_scientist.jpg,img-03-mscoco,1.7,The Parthenon in front of the Great Pyramid,A scientist,0.24951171875,0.2198486328125
img-03-mscoco__fundo_0207__The city of London__th17__A_scientist.jpg,img-03-mscoco,1.7,The city of London,A scientist,0.269287109375,0.20703125
img-03-mscoco__fundo_0231__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th19__A_scientist.jpg,img-03-mscoco,1.9,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.37548828125,0.207763671875
